tradeExecTime,volumeMW,price,name,dlvryStart,dlvryEnd
2023-12-21 12:43:31+00:00,1.0,55.11,4H231221-5,2023-12-21T15:00:00+00:00,2023-12-21T19:00:00+00:00
2023-12-21 12:43:31+00:00,5.3,55.01,4H231221-5,2023-12-21T15:00:00+00:00,2023-12-21T19:00:00+00:00
2023-12-21 12:43:31+00:00,4.9,55.01,4H231221-5,2023-12-21T15:00:00+00:00,2023-12-21T19:00:00+00:00
2023-12-21 12:43:31+00:00,5.3,55.01,4H231221-5,2023-12-21T15:00:00+00:00,2023-12-21T19:00:00+00:00
2023-12-21 12:43:31+00:00,5.3,55.01,4H231221-5,2023-12-21T15:00:00+00:00,2023-12-21T19:00:00+00:00
2023-12-21 12:43:31+00:00,3.5,55.01,4H231221-5,2023-12-21T15:00:00+00:00,2023-12-21T19:00:00+00:00
2023-12-21 12:43:31+00:00,5.3,55.01,4H231221-5,2023-12-21T15:00:00+00:00,2023-12-21T19:00:00+00:00
2023-12-21 12:43:31+00:00,1.8,55.01,4H231221-5,2023-12-21T15:00:00+00:00,2023-12-21T19:00:00+00:00
2023-12-21 12:43:31+00:00,3.2,55.01,4H231221-5,2023-12-21T15:00:00+00:00,2023-12-21T19:00:00+00:00
2023-12-21 12:43:31+00:00,2.1,55.01,4H231221-5,2023-12-21T15:00:00+00:00,2023-12-21T19:00:00+00:00
2023-12-21 12:43:31+00:00,5.3,55.01,4H231221-5,2023-12-21T15:00:00+00:00,2023-12-21T19:00:00+00:00
2023-12-21 12:43:55+00:00,2.6,43.0,1H231221-15,2023-12-21T15:00:00+00:00,2023-12-21T16:00:00+00:00
2023-12-21 12:43:55+00:00,0.3,52.92,2H231221-5A,2023-12-21T15:00:00+00:00,2023-12-21T17:00:00+00:00
2023-12-21 12:44:01+00:00,5.0,55.0,4H231221-5,2023-12-21T15:00:00+00:00,2023-12-21T19:00:00+00:00
2023-12-21 12:44:01+00:00,5.0,55.0,4H231221-5,2023-12-21T15:00:00+00:00,2023-12-21T19:00:00+00:00
2023-12-21 12:44:01+00:00,10.0,55.0,4H231221-5,2023-12-21T15:00:00+00:00,2023-12-21T19:00:00+00:00
2023-12-21 12:44:01+00:00,5.0,55.0,4H231221-5,2023-12-21T15:00:00+00:00,2023-12-21T19:00:00+00:00
2023-12-21 12:44:01+00:00,5.0,55.0,4H231221-5,2023-12-21T15:00:00+00:00,2023-12-21T19:00:00+00:00
2023-12-21 12:44:01+00:00,10.0,55.0,4H231221-5,2023-12-21T15:00:00+00:00,2023-12-21T19:00:00+00:00
2023-12-21 12:44:01+00:00,10.0,55.0,4H231221-5,2023-12-21T15:00:00+00:00,2023-12-21T19:00:00+00:00
2023-12-21 12:44:01+00:00,5.0,55.0,4H231221-5,2023-12-21T15:00:00+00:00,2023-12-21T19:00:00+00:00
2023-12-21 12:44:01+00:00,10.0,55.0,4H231221-5,2023-12-21T15:00:00+00:00,2023-12-21T19:00:00+00:00
2023-12-21 12:44:01+00:00,10.0,55.0,4H231221-5,2023-12-21T15:00:00+00:00,2023-12-21T19:00:00+00:00
2023-12-21 12:44:01+00:00,5.0,55.0,4H231221-5,2023-12-21T15:00:00+00:00,2023-12-21T19:00:00+00:00
2023-12-21 12:44:01+00:00,10.0,55.0,4H231221-5,2023-12-21T15:00:00+00:00,2023-12-21T19:00:00+00:00
2023-12-21 12:44:01+00:00,10.0,55.0,4H231221-5,2023-12-21T15:00:00+00:00,2023-12-21T19:00:00+00:00
2023-12-21 12:44:01+00:00,10.0,55.0,4H231221-5,2023-12-21T15:00:00+00:00,2023-12-21T19:00:00+00:00
2023-12-21 12:44:01+00:00,5.0,55.0,4H231221-5,2023-12-21T15:00:00+00:00,2023-12-21T19:00:00+00:00
2023-12-21 12:44:01+00:00,5.0,55.0,4H231221-5,2023-12-21T15:00:00+00:00,2023-12-21T19:00:00+00:00
2023-12-21 12:44:26+00:00,10.0,55.0,4H231221-5,2023-12-21T15:00:00+00:00,2023-12-21T19:00:00+00:00
2023-12-21 12:44:26+00:00,1.0,55.0,4H231221-5,2023-12-21T15:00:00+00:00,2023-12-21T19:00:00+00:00
2023-12-21 12:44:41+00:00,0.8,55.0,4H231221-5,2023-12-21T15:00:00+00:00,2023-12-21T19:00:00+00:00
2023-12-21 12:44:43+00:00,3.2,55.0,4H231221-5,2023-12-21T15:00:00+00:00,2023-12-21T19:00:00+00:00
2023-12-21 12:44:43+00:00,15.0,55.0,4H231221-5,2023-12-21T15:00:00+00:00,2023-12-21T19:00:00+00:00
2023-12-21 12:44:43+00:00,11.8,55.0,4H231221-5,2023-12-21T15:00:00+00:00,2023-12-21T19:00:00+00:00
2023-12-21 12:44:46+00:00,3.2,55.0,4H231221-5,2023-12-21T15:00:00+00:00,2023-12-21T19:00:00+00:00
2023-12-21 12:44:47+00:00,15.0,55.0,4H231221-5,2023-12-21T15:00:00+00:00,2023-12-21T19:00:00+00:00
2023-12-21 12:44:48+00:00,15.0,55.0,4H231221-5,2023-12-21T15:00:00+00:00,2023-12-21T19:00:00+00:00
2023-12-21 12:44:49+00:00,13.9,55.0,4H231221-5,2023-12-21T15:00:00+00:00,2023-12-21T19:00:00+00:00
2023-12-21 12:44:49+00:00,1.1,55.0,4H231221-5,2023-12-21T15:00:00+00:00,2023-12-21T19:00:00+00:00
2023-12-21 12:44:49+00:00,1.1,54.9,4H231221-5,2023-12-21T15:00:00+00:00,2023-12-21T19:00:00+00:00
2023-12-21 12:44:50+00:00,10.0,55.0,4H231221-5,2023-12-21T15:00:00+00:00,2023-12-21T19:00:00+00:00
2023-12-21 12:44:53+00:00,0.9,40.17,1H231221-15,2023-12-21T15:00:00+00:00,2023-12-21T16:00:00+00:00
2023-12-21 12:44:53+00:00,0.9,31.8,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:44:53+00:00,1.8,31.8,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:44:53+00:00,0.9,40.17,1H231221-15,2023-12-21T15:00:00+00:00,2023-12-21T16:00:00+00:00
2023-12-21 12:44:53+00:00,0.9,32.5,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:44:53+00:00,1.8,31.18,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:44:56+00:00,4.0,55.0,4H231221-5,2023-12-21T15:00:00+00:00,2023-12-21T19:00:00+00:00
2023-12-21 12:45:42+00:00,4.0,35.64,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:45:46+00:00,0.1,35.42,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:45:49+00:00,0.9,35.2,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:46:20+00:00,4.0,34.33,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:46:20+00:00,5.0,34.33,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:46:20+00:00,1.0,34.43,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:46:23+00:00,5.0,35.97,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:46:23+00:00,0.1,35.97,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:46:26+00:00,7.0,35.97,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:46:26+00:00,0.1,35.97,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:46:29+00:00,5.0,35.97,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:46:32+00:00,5.0,35.97,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:46:33+00:00,0.2,38.8,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:46:33+00:00,5.0,38.8,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:46:33+00:00,5.0,38.8,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:46:33+00:00,5.0,38.0,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:46:33+00:00,5.0,38.0,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:46:33+00:00,5.0,38.0,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:46:33+00:00,5.0,38.0,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:46:33+00:00,0.9,38.0,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:46:33+00:00,0.1,35.98,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:46:33+00:00,2.4,36.41,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:46:33+00:00,5.0,38.0,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:46:33+00:00,0.2,36.57,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:46:33+00:00,1.0,37.85,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:46:33+00:00,0.2,36.53,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:46:51+00:00,1.1,54.11,2H231221-5A,2023-12-21T15:00:00+00:00,2023-12-21T17:00:00+00:00
2023-12-21 12:46:51+00:00,1.0,54.63,2H231221-5A,2023-12-21T15:00:00+00:00,2023-12-21T17:00:00+00:00
2023-12-21 12:46:51+00:00,1.1,54.05,2H231221-5A,2023-12-21T15:00:00+00:00,2023-12-21T17:00:00+00:00
2023-12-21 12:46:51+00:00,0.1,54.15,2H231221-5A,2023-12-21T15:00:00+00:00,2023-12-21T17:00:00+00:00
2023-12-21 12:46:53+00:00,5.0,53.22,2H231221-5A,2023-12-21T15:00:00+00:00,2023-12-21T17:00:00+00:00
2023-12-21 12:46:53+00:00,1.0,53.22,2H231221-5A,2023-12-21T15:00:00+00:00,2023-12-21T17:00:00+00:00
2023-12-21 12:47:18+00:00,4.0,45.67,1H231221-15,2023-12-21T15:00:00+00:00,2023-12-21T16:00:00+00:00
2023-12-21 12:47:18+00:00,6.6,54.64,2H231221-5A,2023-12-21T15:00:00+00:00,2023-12-21T17:00:00+00:00
2023-12-21 12:47:27+00:00,5.0,51.49,2H231221-5A,2023-12-21T15:00:00+00:00,2023-12-21T17:00:00+00:00
2023-12-21 12:47:28+00:00,4.0,45.67,1H231221-15,2023-12-21T15:00:00+00:00,2023-12-21T16:00:00+00:00
2023-12-21 12:47:29+00:00,0.7,53.64,2H231221-5A,2023-12-21T15:00:00+00:00,2023-12-21T17:00:00+00:00
2023-12-21 12:47:29+00:00,5.0,53.64,2H231221-5A,2023-12-21T15:00:00+00:00,2023-12-21T17:00:00+00:00
2023-12-21 12:47:31+00:00,4.5,53.54,2H231221-5A,2023-12-21T15:00:00+00:00,2023-12-21T17:00:00+00:00
2023-12-21 12:47:31+00:00,0.8,43.05,1H231221-15,2023-12-21T15:00:00+00:00,2023-12-21T16:00:00+00:00
2023-12-21 12:47:31+00:00,0.8,53.54,2H231221-5A,2023-12-21T15:00:00+00:00,2023-12-21T17:00:00+00:00
